state,year,quarter,total_transactions,amount_millions
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,638751,961.47
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,768971,1226.64
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,878579,1342.76
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,973152,1302.38
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,1138312,1749.79
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,1817791,2700.51
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,1925244,2965.63
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,2125083,3157.67
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,3129470,4305.94
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,4157085,5565.84
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,4802803,6237.05
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,5759771,6995.16
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,6465621,7520.65
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,7189585,8059.64
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,11803985,12614.09
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,13357115,13750.54
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,15370328,15096.07
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,18302373,17558.06
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,21115009,19519.2
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,23393115,20328.99
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,25446270,21564.63
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,28463700,23945.22
delhi,2018,1,7122754,11211.5
delhi,2018,2,9373723,17446.3
delhi,2018,3,18547048,27375.85
delhi,2018,4,29187719,39722.86
delhi,2019,1,47007327,58469.13
delhi,2019,2,57171512,81706.82
delhi,2019,3,69537876,103196.81
delhi,2019,4,80744997,129024.47
delhi,2020,1,81747604,133616.54
delhi,2020,2,66042018,107873.44
delhi,2020,3,96491861,175163.96
delhi,2020,4,120540417,216265.09
delhi,2021,1,157359004,266928.35
delhi,2021,2,170157264,281941.1
delhi,2021,3,238760608,383858.32
delhi,2021,4,292683359,488695.31
delhi,2022,1,330999861,536964.92
delhi,2022,2,410634184,629855.65
delhi,2022,3,475592161,677612.65
delhi,2022,4,515203457,744915.02
delhi,2023,1,409753103,611403.11
delhi,2023,2,482138998,661728.52
delhi,2023,3,546706983,708199.25
delhi,2023,4,598150746,799649.72
delhi,2024,1,650734058,832514.03
delhi,2024,2,777540400,896917.68
delhi,2024,3,844844523,958203.38
delhi,2024,4,910543082,1057060.49
goa,2018,1,160897,303.86
goa,2018,2,229575,478.6
goa,2018,3,339511,713.17
goa,2018,4,514755,1153.01
goa,2019,1,738812,1475.32
goa,2019,2,768441,1591.87
goa,2019,3,1092416,2000.37
goa,2019,4,1515272,2923.46
goa,2020,1,1881237,3410.37
goa,2020,2,1482092,2183.62
goa,2020,3,1915531,3368.34
goa,2020,4,3801381,6899.79
goa,2021,1,5331549,9757.24
goa,2021,2,4710135,8012.85
goa,2021,3,6467763,10478.43
goa,2021,4,11088759,18627.26
goa,2022,1,12214098,19816.45
goa,2022,2,14216054,22873.04
goa,2022,3,13188687,19574.27
goa,2022,4,17192674,24924.99
goa,2023,1,24195070,35096.97
goa,2023,2,26530590,38412.21
goa,2023,3,26999728,37375.18
goa,2023,4,33460978,44287.67
goa,2024,1,35013987,45351.9
goa,2024,2,37000806,47454.83
goa,2024,3,36762111,45913.53
goa,2024,4,46131536,56562.59
gujarat,2018,1,5948775,7577.98
gujarat,2018,2,7745733,12162.68
gujarat,2018,3,11334149,17866.4
gujarat,2018,4,14733303,24830.99
gujarat,2019,1,24991451,35856.08
gujarat,2019,2,28981842,49320.62
gujarat,2019,3,38228649,59462.69
gujarat,2019,4,42547632,76690.66
gujarat,2020,1,47326417,86995.08
gujarat,2020,2,47420185,80387.85
gujarat,2020,3,59290179,111921.75
gujarat,2020,4,77828547,148393.06
gujarat,2021,1,94774565,183700.78
gujarat,2021,2,111841396,210162.05
gujarat,2021,3,149248407,272624.63
gujarat,2021,4,182987325,342382.58
gujarat,2022,1,210547146,392548.09
gujarat,2022,2,252052796,446798
gujarat,2022,3,303239732,497437.5
gujarat,2022,4,341156018,567918.31
gujarat,2023,1,362511326,597826.19
gujarat,2023,2,416922553,645407.21
gujarat,2023,3,479303590,707737.04
gujarat,2023,4,534115578,795087.2
gujarat,2024,1,606576671,871619.46
gujarat,2024,2,690395153,910625.05
gujarat,2024,3,757441250,963551.39
gujarat,2024,4,827374966,1076014.5
haryana,2018,1,4480770,6793.51
haryana,2018,2,6150931,11320.41
haryana,2018,3,8262024,16375.14
haryana,2018,4,12950183,25390.88
haryana,2019,1,22135775,34051.66
haryana,2019,2,22741816,42501.54
haryana,2019,3,30343531,52489.12
haryana,2019,4,37825985,69359.72
haryana,2020,1,44036087,81976.21
haryana,2020,2,41781050,80711.26
haryana,2020,3,57938179,109567.95
haryana,2020,4,83171439,159998.5
haryana,2021,1,90252784,168938.3
haryana,2021,2,105680856,200357.35
haryana,2021,3,140459693,240827.09
haryana,2021,4,169686975,309240.6
haryana,2022,1,191988609,341304.04
