year,quarter,state,total_amount
2018,2,kerala,4254494518.186279
2018,2,jammu-&-kashmir,4089123312.695697
2018,2,uttarakhand,3744143224.257327
2018,2,assam,1997271045.1430345
2018,2,chandigarh,1782533877.690507
2018,2,himachal-pradesh,1613045225.066291
2018,2,goa,702338044.8144321
2018,2,dadra-&-nagar-haveli-&-daman-&-diu,604141543.3123032
2018,2,puducherry,483376558.9968067
2018,2,manipur,366085033.1604256
2018,2,tripura,336608832.4328013
2018,2,arunachal-pradesh,307489238.70157194
2018,2,sikkim,259211441.1500466
2018,2,nagaland,256982583.87300515
2018,2,meghalaya,185508984.87987852
2018,2,mizoram,142325980.5223054
2018,2,ladakh,94021508.97753984
2018,2,andaman-&-nicobar-islands,54848981.4551292
2018,2,lakshadweep,12375619.078801079
2018,3,karnataka,58692392182.186676
2018,3,maharashtra,52663189504.150085
2018,3,delhi,40986283514.532555
2018,3,west-bengal,40961146095.0587
2018,3,andhra-pradesh,34706074229.09517
2018,3,telangana,33496009704.356903
2018,3,tamil-nadu,32876588180.164833
2018,3,uttar-pradesh,24675491240.094368
2018,3,rajasthan,20390718339.404633
2018,3,odisha,18758717643.00019
2018,3,madhya-pradesh,18269068520.70684
2018,3,gujarat,16917729430.068623
2018,3,haryana,16070114309.32538
2018,3,bihar,14096933533.938702
2018,3,jharkhand,8687215399.590677
2018,3,punjab,7313654613.700631
2018,3,chhattisgarh,6587112057.699054
2018,3,jammu-&-kashmir,5813243045.605745
2018,3,kerala,5707212937.417425
2018,3,uttarakhand,5227720673.473958
2018,3,assam,3028746560.604638
2018,3,chandigarh,2532737127.4711843
2018,3,himachal-pradesh,2348624181.457515
2018,3,goa,1039829865.2907946
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,895279191.3563511
2018,3,puducherry,698655376.1909492
2018,3,tripura,629912066.4670832
2018,3,manipur,558208175.3008757
2018,3,arunachal-pradesh,500204280.0539469
2018,3,sikkim,420896672.4059911
2018,3,nagaland,401079641.65281147
2018,3,meghalaya,320079680.97968566
2018,3,mizoram,196298615.6550753
2018,3,ladakh,167323528.14833322
2018,3,andaman-&-nicobar-islands,105652389.61574107
2018,3,lakshadweep,8678064.623971697
2018,4,karnataka,86978127694.98523
2018,4,maharashtra,78785833930.49796
2018,4,delhi,57771405111.80747
2018,4,telangana,51704224211.78056
2018,4,andhra-pradesh,49522968898.331215
2018,4,tamil-nadu,47556168975.44407
2018,4,west-bengal,43492735920.43938
2018,4,uttar-pradesh,36014250722.038155
2018,4,rajasthan,31480927005.886913
2018,4,madhya-pradesh,25985380805.70844
2018,4,haryana,24763482799.398525
2018,4,gujarat,23178669024.708496
2018,4,bihar,18782269209.92586
2018,4,odisha,18096412659.165005
2018,4,punjab,11021416406.456419
2018,4,jharkhand,9509587317.858624
2018,4,chhattisgarh,9397853287.771969
2018,4,jammu-&-kashmir,8369135591.534413
2018,4,kerala,8091208670.300293
2018,4,uttarakhand,7843766906.653155
2018,4,assam,4415668066.152181
2018,4,chandigarh,3772178949.0644436
2018,4,himachal-pradesh,3416841713.4814286
2018,4,goa,1674376386.5074792
2018,4,dadra-&-nagar-haveli-&-daman-&-diu,1317501233.601773
2018,4,puducherry,1041773894.1155462
2018,4,tripura,868378347.105072
2018,4,manipur,858865189.0762292
2018,4,arunachal-pradesh,751900592.664104
2018,4,sikkim,687465365.58916
2018,4,nagaland,632202079.5099981
2018,4,meghalaya,518326710.3163653
2018,4,mizoram,323883452.7970896
2018,4,ladakh,268661138.8125611
2018,4,andaman-&-nicobar-islands,172899771.5327849
2018,4,lakshadweep,8926427.396445664
2019,1,karnataka,142556606667.2113
2019,1,maharashtra,118051716839.34924
2019,1,telangana,109419811251.4494
2019,1,delhi,87738213890.54478
2019,1,andhra-pradesh,81867112318.64568
2019,1,tamil-nadu,63009943413.555275
2019,1,rajasthan,59383314898.49981
2019,1,uttar-pradesh,56892543462.39947
2019,1,west-bengal,55346696278.72527
2019,1,madhya-pradesh,41442891264.573395
2019,1,gujarat,36663340691.87024
2019,1,haryana,34184709420.907864
2019,1,bihar,34042100734.859737
2019,1,odisha,31658260700.07963
2019,1,punjab,14724647263.256691
2019,1,jharkhand,13808422820.0433
2019,1,chhattisgarh,13349774827.281345
2019,1,kerala,11243758854.810146
2019,1,uttarakhand,10061897721.26643
2019,1,jammu-&-kashmir,8668860061.277729
2019,1,assam,7201438401.409837
2019,1,himachal-pradesh,4691634546.862699
2019,1,chandigarh,4451469751.555625
2019,1,goa,2160792350.5117407
2019,1,dadra-&-nagar-haveli-&-daman-&-diu,1686739552.0998027
2019,1,puducherry,1546398679.5252354
2019,1,tripura,1033716631.7748318
2019,1,manipur,960117516.4954076
2019,1,arunachal-pradesh,881885557.4231135
2019,1,sikkim,825000109.6524887
2019,1,nagaland,715818001.9544632
2019,1,meghalaya,625542386.665994
2019,1,mizoram,364950589.4984557
2019,1,ladakh,298951260.7256423
2019,1,andaman-&-nicobar-islands,194164717.53414822
2019,1,lakshadweep,17572260.95867799
2019,2,karnataka,202662832458.87225
2019,2,telangana,201500125189.91763
2019,2,maharashtra,181265288799.5013
2019,2,delhi,129620067939.27586
