state,year,quarter,transaction_type,transaction_count,transaction_amount
andhra-pradesh,2020,2,"Peer-to-peer payments",73609921,262731724130.7907
andhra-pradesh,2020,2,"Recharge & bill payments",41013987,16991006436.573467
andhra-pradesh,2020,2,"Merchant payments",29976765,22625596525.44269
andhra-pradesh,2020,2,"Financial Services",140941,145274999.15679634
andhra-pradesh,2020,2,Others,176241,90087654.60009979
andhra-pradesh,2020,3,"Peer-to-peer payments",106791894,406461788252.32056
andhra-pradesh,2020,3,"Merchant payments",54055557,40739580213.86052
andhra-pradesh,2020,3,"Recharge & bill payments",43500067,19475104674.827175
andhra-pradesh,2020,3,"Financial Services",243088,256074924.7187529
andhra-pradesh,2020,3,Others,312329,151582519.18136686
andhra-pradesh,2020,4,"Peer-to-peer payments",152003791,566639138543.7708
andhra-pradesh,2020,4,"Merchant payments",86581460,66654048149.95168
andhra-pradesh,2020,4,"Recharge & bill payments",46810304,20936337211.557747
andhra-pradesh,2020,4,"Financial Services",265470,305168772.45601684
andhra-pradesh,2020,4,Others,457527,306853355.59473807
andhra-pradesh,2021,1,"Peer-to-peer payments",149313738,580542193013.0018
andhra-pradesh,2021,1,"Merchant payments",97920281,70813192713.43477
andhra-pradesh,2021,1,"Recharge & bill payments",41940689,20546424964.14482
andhra-pradesh,2021,1,"Financial Services",225355,270313028.48452014
andhra-pradesh,2021,1,Others,347907,272546457.5502677
andhra-pradesh,2021,2,"Peer-to-peer payments",189614879,737004484057.439
andhra-pradesh,2021,2,"Merchant payments",112875274,88512429436.91248
andhra-pradesh,2021,2,"Recharge & bill payments",49626902,24646800345.106976
andhra-pradesh,2021,2,"Financial Services",243237,265483044.40124667
andhra-pradesh,2021,2,Others,406842,308302224.3856007
andhra-pradesh,2021,3,"Peer-to-peer payments",221280317,837841124664.307
andhra-pradesh,2021,3,"Merchant payments",158290953,118164377968.16754
andhra-pradesh,2021,3,"Recharge & bill payments",51702350,27511344958.24361
andhra-pradesh,2021,3,"Financial Services",211171,297239697.83073866
andhra-pradesh,2021,3,Others,547759,403948275.56756073
andhra-pradesh,2021,4,"Peer-to-peer payments",262006450,971269765249.1282
andhra-pradesh,2021,4,"Merchant payments",207538904,152883933596.5386
andhra-pradesh,2021,4,"Recharge & bill payments",51762842,31232784713.985794
andhra-pradesh,2021,4,"Financial Services",243951,332740108.6635881
andhra-pradesh,2021,4,Others,701856,545223415.6638832
andhra-pradesh,2022,1,"Peer-to-peer payments",288488560,1089629182596.4781
andhra-pradesh,2022,1,"Merchant payments",242031836,169419685917.19562
andhra-pradesh,2022,1,"Recharge & bill payments",51224170,34473036841.83001
andhra-pradesh,2022,1,"Financial Services",231651,324358965.11859065
andhra-pradesh,2022,1,Others,627694,474382234.25397474
andhra-pradesh,2022,2,"Peer-to-peer payments",321362337,1231408926513.7114
andhra-pradesh,2022,2,"Merchant payments",292530048,205433660654.20898
andhra-pradesh,2022,2,"Recharge & bill payments",56606969,42408541939.06145
andhra-pradesh,2022,2,"Financial Services",192751,245783011.04455262
andhra-pradesh,2022,2,Others,441925,357036084.9071137
andhra-pradesh,2022,3,"Peer-to-peer payments",298804000,1140164525892.7397
andhra-pradesh,2022,3,"Merchant payments",291033653,202910820650.0824
andhra-pradesh,2022,3,"Recharge & bill payments",52467708,41438764826.20322
andhra-pradesh,2022,3,"Financial Services",187190,239347241.54655045
andhra-pradesh,2022,3,Others,362484,323951101.5715289
andhra-pradesh,2022,4,"Merchant payments",321632104,211898851397.09848
andhra-pradesh,2022,4,"Peer-to-peer payments",315734006,1170249585983.0112
andhra-pradesh,2022,4,"Recharge & bill payments",52098850,41986837706.47902
andhra-pradesh,2022,4,"Financial Services",206459,250596592.06465048
andhra-pradesh,2022,4,Others,345658,339211363.0027188
andhra-pradesh,2023,1,"Merchant payments",540680395,311606731877
andhra-pradesh,2023,1,"Peer-to-peer payments",514931308,1857818168755
andhra-pradesh,2023,1,"Recharge & bill payments",89143939,78817989795
andhra-pradesh,2023,1,"Financial Services",288150,331233097
andhra-pradesh,2023,1,Others,488672,477193006
andhra-pradesh,2023,2,"Merchant payments",634303064,349602824539
andhra-pradesh,2023,2,"Peer-to-peer payments",573455382,2067288068882
andhra-pradesh,2023,2,"Recharge & bill payments",97202487,88352183038
andhra-pradesh,2023,2,"Financial Services",316533,386071375
andhra-pradesh,2023,2,Others,379498,409939082
andhra-pradesh,2023,3,"Merchant payments",750265405,395042164275
andhra-pradesh,2023,3,"Peer-to-peer payments",623202203,2163464730936
andhra-pradesh,2023,3,"Recharge & bill payments",101000645,94077774967
andhra-pradesh,2023,3,"Financial Services",361584,466791218
andhra-pradesh,2023,3,Others,334566,362636702
andhra-pradesh,2023,4,"Merchant payments",822516631,427677236042
andhra-pradesh,2023,4,"Peer-to-peer payments",673002314,2270766948881
andhra-pradesh,2023,4,"Recharge & bill payments",100733697,103186953776
andhra-pradesh,2023,4,"Financial Services",431705,535202901
andhra-pradesh,2023,4,Others,303079,348636223
andhra-pradesh,2024,1,"Merchant payments",926373997,468462542792
andhra-pradesh,2024,1,"Peer-to-peer payments",721764113,2436665736212
andhra-pradesh,2024,1,"Recharge & bill payments",106564415,106646957337
andhra-pradesh,2024,1,"Financial Services",427720,634184211
andhra-pradesh,2024,1,Others,298240,316249197
andhra-pradesh,2024,2,"Merchant payments",1068247800,526363160284
andhra-pradesh,2024,2,"Peer-to-peer payments",748553253,2545133436133
andhra-pradesh,2024,2,"Recharge & bill payments",112475183,109301693605
andhra-pradesh,2024,2,"Financial Services",558924,799915709
andhra-pradesh,2024,2,Others,287140,324214357
andhra-pradesh,2024,3,"Merchant payments",1186825685,569822447748
andhra-pradesh,2024,3,"Peer-to-peer payments",802972632,2555369227206
andhra-pradesh,2024,3,"Recharge & bill payments",100644574,100291968047
andhra-pradesh,2024,3,"Financial Services",633983,857014703
andhra-pradesh,2024,3,Others,294488,304949785
andhra-pradesh,2024,4,"Merchant payments",1319061337,622805238380
andhra-pradesh,2024,4,"Peer-to-peer payments",872917507,2723665407515
andhra-pradesh,2024,4,"Recharge & bill payments",101888917,104194996949
andhra-pradesh,2024,4,"Financial Services",2255721,977916755
andhra-pradesh,2024,4,Others,322062,372009367
arunachal-pradesh,2018,1,"Recharge & bill payments",28729,5184132.514934338
arunachal-pradesh,2018,1,"Peer-to-peer payments",13320,82889682.72418305
arunachal-pradesh,2018,1,"Merchant payments",1042,2420374.1905855755
arunachal-pradesh,2018,1,"Financial Services",416,58893.76201533088
arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
arunachal-pradesh,2018,2,"Recharge & bill payments",50700,10468878.537107183
arunachal-pradesh,2018,2,"Peer-to-peer payments",26477,181576281.19464755
arunachal-pradesh,2018,2,"Merchant payments",2378,4718953.439561011
arunachal-pradesh,2018,2,"Financial Services",559,363761.80159549194
arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
arunachal-pradesh,2018,3,"Recharge & bill payments",74122,15997565.906016497
arunachal-pradesh,2018,3,"Peer-to-peer payments",49740,308106303.45342577
arunachal-pradesh,2018,3,"Merchant payments",4738,5505694.567913429
arunachal-pradesh,2018,3,"Financial Services",507,72133.845254878
arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
arunachal-pradesh,2018,4,"Recharge & bill payments",97751,20662691.882313278
arunachal-pradesh,2018,4,"Peer-to-peer payments",68169,468831493.2328036
arunachal-pradesh,2018,4,"Merchant payments",7726,11998974.1040326
arunachal-pradesh,2018,4,"Financial Services",561,100597.90379906222
arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
arunachal-pradesh,2019,1,"Recharge & bill payments",121303,26796894.998233315
arunachal-pradesh,2019,1,"Peer-to-peer payments",93494,568554821.4456317
arunachal-pradesh,2019,1,"Merchant payments",9214,11727218.401334248
arunachal-pradesh,2019,1,"Financial Services",256,140622.87093631705
arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
arunachal-pradesh,2019,2,"Recharge & bill payments",131988,30420803.41271234
