state,year,quarter,district,insurance_count,insurance_amount
andhra-pradesh,2024,2,"guntur district",3946,6093685
andhra-pradesh,2024,2,"krishna district",5321,7539878
andhra-pradesh,2024,3,"east godavari district",2001,3116536
andhra-pradesh,2024,3,"srikakulam district",1408,1957392
andhra-pradesh,2024,3,"visakhapatnam district",8553,12088761
andhra-pradesh,2024,3,"sri potti sriramulu nellore district",2386,3626372
andhra-pradesh,2024,3,"kurnool district",960,1691366
andhra-pradesh,2024,3,"guntur district",3703,5419362
andhra-pradesh,2024,3,"krishna district",1321,1995792
andhra-pradesh,2024,3,"spsr nellore district",1,5123
andhra-pradesh,2024,3,"annamayya district",1010,2118386
andhra-pradesh,2024,3,"ananthapuramu district",1310,2511508
andhra-pradesh,2024,3,"vizianagaram district",1608,2223183
andhra-pradesh,2024,3,"tirupati district",3517,5808106
andhra-pradesh,2024,3,"alluri sitharama raju district",278,356671
andhra-pradesh,2024,3,"nandyal district",615,1147603
andhra-pradesh,2024,3,"sri sathyasai district",768,1615122
andhra-pradesh,2024,3,"palnadu district",960,1461960
andhra-pradesh,2024,3,"prakasam district",1405,1885692
andhra-pradesh,2024,3,"parvathipuram manyam district",361,468615
andhra-pradesh,2024,3,"anantapur district",2,41706
andhra-pradesh,2024,3,"dr br ambedkar konaseema district",882,1478929
andhra-pradesh,2024,3,"bapatla district",797,1356652
andhra-pradesh,2024,3,"ntr district",4856,6761184
andhra-pradesh,2024,3,"kakinada district",2269,3477318
andhra-pradesh,2024,3,"anakapalli district",1792,2253638
andhra-pradesh,2024,3,"ysr district",1406,2419022
andhra-pradesh,2024,3,"west godavari district",1154,1792789
andhra-pradesh,2024,3,"eluru district",1259,2088060
andhra-pradesh,2024,3,"chittoor district",1432,2748351
andhra-pradesh,2024,4,"east godavari district",2499,3119010
andhra-pradesh,2024,4,"srikakulam district",1874,2198375
andhra-pradesh,2024,4,"visakhapatnam district",9897,13254184
andhra-pradesh,2024,4,"sri potti sriramulu nellore district",3193,4050293
andhra-pradesh,2024,4,"kurnool district",1371,2100914
andhra-pradesh,2024,4,"guntur district",4159,5517638
andhra-pradesh,2024,4,"krishna district",1706,2112206
andhra-pradesh,2024,4,"annamayya district",1343,2036321
andhra-pradesh,2024,4,"ananthapuramu district",1672,2619784
andhra-pradesh,2024,4,"vizianagaram district",1926,1988306
andhra-pradesh,2024,4,"tirupati district",4169,6081241
andhra-pradesh,2024,4,"alluri sitharama raju district",359,401184
andhra-pradesh,2024,4,"nandyal district",911,1339586
andhra-pradesh,2024,4,"sri sathyasai district",1032,1634709
andhra-pradesh,2024,4,"palnadu district",1417,1540990
andhra-pradesh,2024,4,"prakasam district",2499,2645564
andhra-pradesh,2024,4,"parvathipuram manyam district",452,451326
andhra-pradesh,2024,4,"dr br ambedkar konaseema district",1203,1374247
andhra-pradesh,2024,4,"bapatla district",1175,1540112
andhra-pradesh,2024,4,"ntr district",7077,8504106
andhra-pradesh,2024,4,"kakinada district",2905,3879273
andhra-pradesh,2024,4,"anakapalli district",2018,2214934
andhra-pradesh,2024,4,"ysr district",1792,2640383
andhra-pradesh,2024,4,"west godavari district",1534,1956650
andhra-pradesh,2024,4,"eluru district",1638,2188266
andhra-pradesh,2024,4,"chittoor district",1604,2639312
arunachal-pradesh,2020,2,"lower dibang valley district",2,513
arunachal-pradesh,2020,2,"west kameng district",2,513
arunachal-pradesh,2020,2,"lower subansiri district",1,231
arunachal-pradesh,2020,2,"west siang district",5,1124
arunachal-pradesh,2020,2,"kamle district",1,298
arunachal-pradesh,2020,2,"east siang district",2,469
arunachal-pradesh,2020,2,"tirap district",5,1026
arunachal-pradesh,2020,2,"lepa rada district",1,282
arunachal-pradesh,2020,2,"tawang district",3,827
arunachal-pradesh,2020,2,"namsai district",1,231
arunachal-pradesh,2020,2,"papum pare district",33,6304
arunachal-pradesh,2020,2,"changlang district",9,2511
arunachal-pradesh,2020,3,"lower dibang valley district",4,843
arunachal-pradesh,2020,3,"lower subansiri district",1,662
arunachal-pradesh,2020,3,"longding district",1,166
arunachal-pradesh,2020,3,"west siang district",5,2052
arunachal-pradesh,2020,3,"kamle district",1,166
arunachal-pradesh,2020,3,"upper siang district",1,281
arunachal-pradesh,2020,3,"tirap district",3,939
arunachal-pradesh,2020,3,"papum pare district",60,15776
arunachal-pradesh,2020,3,"siang district",1,184
arunachal-pradesh,2020,3,"lower siang district",1,662
arunachal-pradesh,2020,3,"changlang district",2,364
arunachal-pradesh,2020,3,"dibang valley district",3,66
arunachal-pradesh,2020,3,"west kameng district",12,3466
arunachal-pradesh,2020,3,"east siang district",22,9675
arunachal-pradesh,2020,3,"upper subansiri district",2,66
arunachal-pradesh,2020,3,"east kameng district",2,695
arunachal-pradesh,2020,3,"lohit district",9,1557
arunachal-pradesh,2020,3,"lepa rada district",1,548
arunachal-pradesh,2020,3,"tawang district",1,33
arunachal-pradesh,2020,3,"namsai district",3,1486
arunachal-pradesh,2020,4,"lower dibang valley district",9,1981
arunachal-pradesh,2020,4,"lower subansiri district",1,32
arunachal-pradesh,2020,4,"west siang district",1,162
arunachal-pradesh,2020,4,"tirap district",4,1561
arunachal-pradesh,2020,4,"papum pare district",48,21298
arunachal-pradesh,2020,4,"siang district",2,691
arunachal-pradesh,2020,4,"lower siang district",1,33
arunachal-pradesh,2020,4,"changlang district",7,5505
arunachal-pradesh,2020,4,"pakke kessang district",2,1017
arunachal-pradesh,2020,4,"dibang valley district",1,2967
arunachal-pradesh,2020,4,"west kameng district",15,22182
arunachal-pradesh,2020,4,"east siang district",10,8075
arunachal-pradesh,2020,4,"upper subansiri district",2,1154
arunachal-pradesh,2020,4,"east kameng district",1,32
arunachal-pradesh,2020,4,"lohit district",5,4148
arunachal-pradesh,2020,4,"lepa rada district",3,2685
arunachal-pradesh,2020,4,"tawang district",10,9740
arunachal-pradesh,2020,4,"namsai district",3,984
arunachal-pradesh,2021,1,"lower dibang valley district",5,4680
arunachal-pradesh,2021,1,"lower subansiri district",2,5103
arunachal-pradesh,2021,1,"longding district",2,1334
arunachal-pradesh,2021,1,"west siang district",7,3690
arunachal-pradesh,2021,1,"kamle district",1,167
arunachal-pradesh,2021,1,"upper siang district",5,900
arunachal-pradesh,2021,1,"tirap district",7,7696
arunachal-pradesh,2021,1,"papum pare district",65,62651
arunachal-pradesh,2021,1,"siang district",2,136
arunachal-pradesh,2021,1,"lower siang district",5,733
arunachal-pradesh,2021,1,"kra daadi district",2,366
arunachal-pradesh,2021,1,"changlang district",12,4524
arunachal-pradesh,2021,1,"pakke kessang district",2,415
arunachal-pradesh,2021,1,"dibang valley district",1,669
